X;Y;site_id
4182046.79;7239733.068;1175
4182253.51;7200999.245;1176
4181773.779;7202789.059;1171
4181807.731;7203407.91;1411
4181831.108;7206663.485;1172
4181864.504;7217203.028;1412
4181640.529;7201379.992;1167
4181645.761;7209584.644;1168
4181698.415;7205889.227;1169
4181774.502;7207176.56;1170
4181299.001;7201405.756;1163
4181507.224;7216025.968;1164
4181571.511;7216371.533;1165
4181619.545;7202006.815;1166
4187828.835;7213135.454;1267
4187848.149;7223951.596;1431
4187859.615;7191134.201;1268
4187871.86;7220805.126;1432
4187427.306;7187950.624;1265
4187530.221;7211756.9;1429
4187753.416;7215771.471;1266
4187801.506;7211672.176;1430
4187232.386;7216974.308;1261
4187256.096;7190482.516;1262
4187400.756;7213178.205;1263
4187409.275;7224633.314;1264
4186902.601;7200726.222;1258
4187157.857;7206198.103;1259
4187116.78;7219960.195;1260
4187121.122;7211838.388;1428
4186821.766;7207328.274;1254
4186726.859;7218186.497;1255
4186761.782;7211934.632;1256
4186828.518;7225223.295;1257
4186571.036;7205287.682;1251
4186621.464;7188116.526;1252
4186590.239;7216891.719;1427
4186634.822;7219959.146;1253
4186493.168;7206729.89;1248
4186419.475;7213109.176;1426
4186476.359;7196456.707;1249
4186549.496;7209582.645;1250
4186289.676;7189986.857;1244
4186369.993;7217590.181;1245
4186378.676;7224513.189;1246
4186420.365;7201302.415;1247
4186171.678;7197130.837;1240
4186208.357;7191553.496;1241
4186273.813;7192465.939;1242
4186293.739;7189468.446;1243
4186050.618;7209716.549;1237
4186154.702;7212083.809;1238
4186125.981;7212623.419;1239
4186142.957;7213067.473;1425
4185892.934;7193294.531;1233
4185993.845;7201998.924;1234
4186047.963;7190493.413;1235
4186044.662;7222485.254;1236
4185738.478;7211278.842;1230
4185813.118;7200133.911;1424
4185824.417;7200460.337;1231
4185827.812;7207550.946;1232
4185686.436;7206613.731;1226
4185686.825;7203903.369;1227
4185691.724;7197827.546;1228
4185741.818;7220391.893;1229
4185312.919;7211387.017;1222
4185245.166;7197672.843;1223
4185241.659;7221539.584;1224
4185605.896;7201047.634;1225
4185100.149;7209989.036;1218
4185128.67;7206535.341;1219
4185161.62;7207649.992;1220
4185285.686;7205091.267;1221
4185005.662;7194417.946;1215
4185040.672;7191399.581;1216
4185052.805;7202912.102;1217
4185030.43;7199691.917;1423
4191601.397;7197535.533;1456
4191669.413;7213246.854;1306
4191835.836;7214275.896;1307
4191936.914;7215020.505;1308
4191380.818;7212544.208;1304
4191586.592;7207891.857;1305
4191577.909;7190918.391;1454
4191598.614;7202873.496;1455
4191107.584;7212064.007;1302
4191265.212;7197724.632;1452
4191339.24;7205771.749;1453
4191386.216;7208809.242;1303
4190811.919;7198009.525;1299
4190870.64;7208269.703;1300
4190853.33;7211311.206;1301
4190950.957;7207924.113;1451
4190701.212;7203329.268;1296
4190680.785;7207388.631;1450
4190712.4;7210501.369;1297
4190753.532;7209849.98;1298
4190294.061;7214816.514;1292
4190280.703;7204019.964;1293
4190328.848;7225452.732;1294
4190569.577;7215422.503;1295
4190138.826;7201576.22;1290
4190179.291;7211959.86;1448
4190183.855;7203089.35;1449
4190238.513;7201985.898;1291
4189832.03;7199743.814;1288
4189902.328;7202563.895;1446
4190017.989;7212594.476;1447
4190161.313;7208647.757;1289
4189758.726;7215645.845;1285
4189763.123;7204478.274;1286
4189813.05;7184835.882;1287
4189817.168;7199134.755;1445
4189560.466;7196515.044;1444
4189662.601;7214545.772;1282
4189708.576;7200578.306;1283
4189718.038;7203032.486;1284
4189231.906;7215793.472;1279
4189312.334;7206944.707;1443
4189332.372;7203246.441;1280
4189426.326;7204179.166;1281
4189061.754;7203561.775;1440
4189108.62;7192385.031;1441
4189131.106;7203908.885;1442
4189189.159;7192839.53;1278
4188680.875;7215946.437;1275
4188671.134;7209930.306;1439
4188773.993;7213433.951;1276
4188933.626;7214750.423;1277
4188602.951;7201500.257;1271
4188615.975;7191750.048;1272
4188691.457;7212901.672;1273
4188671.858;7202584.624;1274
4188250.904;7214621.194;1269
4188241.886;7194497.07;1437
4188362.222;7211514.535;1270
4188488.459;7192770.015;1438
4188028.041;7202890.232;1433
4188061.326;7208735.969;1434
4188100.065;7211615.44;1435
4188124.778;7192766.216;1436
4197875.642;7204526.018;1357
4198106.018;7199008.063;1358
4198280.567;7205814.935;1469
4198371.96;7201892.152;1359
4197496.488;7199902.36;1354
4197546.415;7194216.673;1468
4197809.518;7199269.432;1355
4197856.105;7206331.094;1356
4197255.481;7203305.684;1352
4197313.641;7205369.557;1353
4197275.463;7220140.686;1466
4197320.325;7203973.934;1467
4196825.955;7209648.788;1465
4196895.418;7205807.04;1349
4196927.033;7193813.383;1350
4196938.054;7220182.235;1351
4196573.204;7210560.952;1346
4196629.476;7219156.612;1347
4196746.25;7208738.443;1348
4196767.178;7179582.088;1464
4196250.878;7197962.011;1342
4196315.778;7206516.6;1343
4196318.282;7209089.588;1344
4196497.118;7209486.497;1345
4196045.104;7210250.572;1338
4196103.547;7218265.173;1339
4196087.628;7214591.196;1340
4196168.224;7211155.476;1341
4195842.782;7207092.267;1334
4195830.87;7193599.493;1335
4195887.086;7188047.716;1336
4195975.967;7209776.293;1337
4195308.114;7197559.479;1331
4195508.823;7190966.433;1463
4195554.742;7209357.097;1332
4195628.547;7210757.884;1333
4195247.611;7193406.884;1329
4195260.469;7224530.162;1461
4195299.208;7207754.558;1330
